# LHCHXSWG YR4 BSM Higgs production cross sections at sqrt(s)=13.6 TeV
# Source: https://gitlab.cern.ch/LHCHIGGSXS/LHCHXSWG1/crosssections
# Repository commit: aad67de39778537fa36fa0692abf66fd43f660a4
# Workbook: YR4/Higgs_XSBR_YR4.xlsx
# Sheet: YR4 BSM 13.6 TeV
# Extracted ranges: ggF A6:E119; VBF J6:N119
# Scope: BSM mass grid, narrow-width approximation, no electroweak corrections
# 13.6 TeV values are interpolations of the 13 and 14 TeV recommendations
# Citation: CERN Yellow Report 4, arXiv:1610.07922
# Uncertainty columns reproduce the workbook components; scale_down_pct is negative
mass_gev	ggf_pb	ggf_scale_up_pct	ggf_scale_down_pct	ggf_pdfalphas_pct	vbf_pb	vbf_scale_up_pct	vbf_scale_down_pct	vbf_pdfalphas_pct
1550	0.0084648	6.062	-5.038	6.926	0.024154	0.4336	-1.1162	2.9636
1600	0.0067838	6.278	-5.068	7.154	0.021462	0.4534	-1.1612	3.0188
1650	0.0054628	6.514	-5.102	7.38	0.019096	0.4772	-1.206	3.0752
1700	0.0044168	6.754	-5.138	7.612	0.017016	0.499	-1.2538	3.1334
1750	0.0035848	9.4	-2.42	8.416	0.015176	0.5236	-1.2942	3.1922
1800	0.0029198	9.09	-2.936	8.528	0.01355	0.5424	-1.3406	3.252
1850	0.0023884	8.83	-3.396	8.666	0.0121124	0.5654	-1.389	3.315
1900	0.00196	8.61	-3.812	8.83	0.0108416	0.5906	-1.4312	3.3774
1950	0.0016128	8.44	-4.182	9.008	0.0097104	0.6108	-1.482	3.441
2000	0.0013318	8.3	-4.508	9.206	0.0087032	0.6304	-1.5294	3.5096
2050	0.00110272	8.2	-4.792	9.42	0.0078084	0.6562	-1.574	3.577
2100	0.0009158	8.13	-5.04	9.64	0.0070108	0.6846	-1.6188	3.6468
2150	0.00076212	8.1	-5.256	9.876	0.0062994	0.7062	-1.6696	3.7198
2200	0.00063632	8.09	-5.444	10.12	0.0056648	0.7258	-1.7166	3.793
2250	0.0005326	8.1	-5.602	10.376	0.0050968	0.7554	-1.7616	3.8688
2300	0.0004466	8.13	-5.738	10.634	0.0045894	0.7768	-1.8182	3.9478
2350	0.00037536	8.18	-5.852	10.91	0.0041338	0.7994	-1.8628	4.0292
2400	0.00031642	8.25	-5.946	11.188	0.0037254	0.8262	-1.9106	4.1114
2450	0.0002671	8.32	-6.028	11.482	0.0033596	0.8522	-1.9586	4.1974
2500	0.00022574	8.4	-6.1	11.776	0.0030308	0.8816	-2.0056	4.2874
2550	0.000191	8.48	-6.166	12.082	0.0027358	0.907	-2.0556	4.376
2600	0.00016248	8.57	-6.222	12.394	0.0024708	0.9336	-2.1044	4.4694
2650	0.00013806	8.65	-6.276	12.71	0.0022318	0.9618	-2.1536	4.5648
2700	0.000117484	8.73	-6.336	13.04	0.0020166	0.997	-2.2022	4.6648
2750	0.000100144	8.8	-6.4	13.37	0.0018236	1.0252	-2.2524	4.7668
2800	0.00008573	8.86	-6.47	13.71	0.0016492	1.042	-2.3028	4.8734
2850	0.000073196	8.9	-6.554	14.052	0.0014916	1.0676	-2.3552	4.983
2900	0.000062928	8.92	-6.654	14.404	0.0013496	1.0914	-2.403	5.0946
2950	0.000053846	8.92	-6.764	14.758	0.00122184	1.1216	-2.4494	5.2086
3000	0.000046252	8.9	-6.9	15.126	0.00110592	1.1466	-2.5068	5.3288
