m_A0_GeV,B1B2_UL_red
6.588709677419296,1.2250880135326592e-05
6.598709677419296,1.252356930467956e-05
6.608709677419296,1.2692591294591508e-05
6.618709677419296,1.2910332589723445e-05
6.6287096774192955,1.3173472620660235e-05
6.638709677419295,1.3308907235778592e-05
6.648709677419295,1.3605224346685954e-05
6.658709677419295,1.3813704273794637e-05
6.668709677419295,1.4025343777293095e-05
6.678709677419294,1.4154273201292456e-05
6.688709677419294,1.4360211268773465e-05
6.698709677419294,1.4446522343431351e-05
6.708709677419294,1.4545273554799019e-05
6.718709677419294,1.4644699793797197e-05
6.728709677419293,1.4744805674671072e-05
6.738709677419293,1.4773026921859782e-05
6.748709677419293,1.489755315968149e-05
6.758709677419293,1.5023091546445192e-05
6.7687096774192925,1.5149650100912342e-05
6.778709677419292,1.5367305383759042e-05
6.788709677419292,1.5445957042178033e-05
6.798709677419292,1.5524608700597023e-05
6.808709677419292,1.5603260359016013e-05
6.8187096774192915,1.569169380817104e-05
6.828709677419291,1.5784282752584533e-05
6.838709677419291,1.5784282752584533e-05
6.848709677419291,1.5766279346725115e-05
6.858709677419291,1.5892178411161234e-05
6.86870967741929,1.6000811605508303e-05
6.87870967741929,1.6058562012935645e-05
6.88870967741929,1.619388118010276e-05
6.89870967741929,1.6331186991000324e-05
6.9087096774192895,1.6356193029065236e-05
6.918709677419289,1.6494074207651856e-05
6.928709677419289,1.663307613933122e-05
6.938709677419289,1.6668383773933263e-05
6.948709677419289,1.6685702510137655e-05
6.9587096774192885,1.682637450160603e-05
6.968709677419288,1.6897040728147544e-05
6.978709677419288,1.6994986483826653e-05
6.988709677419288,1.7138201321616666e-05
6.998709677419288,1.7245920927594073e-05
7.008709677419287,1.7363807817065766e-05
7.018709677419287,1.7575235691087032e-05
7.028709677419287,1.760200460104079e-05
7.038709677419287,1.775139997062753e-05
7.048709677419287,1.7843468969435875e-05
7.058709677419286,1.7843468969435875e-05
7.068709677419286,1.7843468969435875e-05
7.078709677419286,1.7843468969435875e-05
7.088709677419286,1.7722325549953617e-05
7.0987096774192855,1.7722325549953617e-05
7.108709677419285,1.7498753091228004e-05
7.118709677419285,1.710658220692696e-05
7.128709677419285,1.6631265491406417e-05
7.138709677419285,1.6097391252007126e-05
7.148709677419284,1.569940955354189e-05
7.158709677419284,1.525073873039954e-05
7.168709677419284,1.4794166454561368e-05
7.178709677419284,1.4351120470918587e-05
7.188709677419284,1.3948110544729213e-05
7.198709677419283,1.3325716227019587e-05
7.208709677419283,1.2731785076109163e-05
7.218709677419283,1.2047997008126314e-05
7.228709677419283,1.1337006996450016e-05
7.2387096774192825,1.0667544964709798e-05
7.248709677419282,1.0030593072366742e-05
7.258709677419282,9.38202610778182e-06
7.268709677419282,8.828472848585349e-06
7.278709677419282,8.307246679729715e-06
7.288709677419281,7.763638620164849e-06
7.298709677419281,7.319267297761961e-06
7.308709677419281,6.9219691305354845e-06
7.318709677419281,6.690272187315477e-06
7.328709677419281,6.433494189199732e-06
7.33870967741928,5.798472602294988e-06
7.34870967741928,5.692225780280055e-06
7.35870967741928,5.392908625589767e-06
7.36870967741928,5.171742649576458e-06
7.3787096774192795,5.016843108384306e-06
7.388709677419279,4.878500389973308e-06
7.398709677419279,4.80488401230682e-06
7.408709677419279,4.705924078863636e-06
7.418709677419279,4.629299984883526e-06
7.4287096774192785,4.577385115364225e-06
7.438709677419278,4.5996193623378845e-06
7.448709677419278,4.5761360003668096e-06
7.458709677419278,4.6101209994886454e-06
7.468709677419278,4.657066700616197e-06
7.478709677419277,4.680310661561789e-06
7.488709677419277,4.716411162122808e-06
7.498709677419277,4.851466596651338e-06
7.508709677419277,5.045539121255048e-06
7.5187096774192765,5.2895963275662085e-06
7.528709677419276,5.545235688458367e-06
7.538709677419276,5.812998826292907e-06
7.548709677419276,6.090722561374608e-06
7.558709677419276,6.418760832108597e-06
7.5687096774192755,6.810551928760389e-06
7.578709677419275,7.264209360042802e-06
7.588709677419275,7.77199556993712e-06
7.598709677419275,8.246631224840903e-06
7.608709677419275,8.690647867204938e-06
7.618709677419274,9.114821303102972e-06
7.628709677419274,9.396138906101088e-06
7.638709677419274,9.74182692967886e-06
7.648709677419274,9.891109426784525e-06
7.6587096774192736,1.0111302347151964e-05
7.668709677419273,1.0266195355783731e-05
7.678709677419273,1.0276241915035851e-05
7.688709677419273,1.0276241915035851e-05
7.698709677419273,1.0276241915035851e-05
7.7087096774192725,1.034648659491747e-05
7.718709677419272,1.0345362680040665e-05
7.728709677419272,1.0206474142460554e-05
7.738709677419272,1.010414468760848e-05
7.748709677419272,1.0019686640285891e-05
7.758709677419271,9.932107697393503e-06
7.768709677419271,9.864676331262329e-06
7.778709677419271,9.864676331262329e-06
7.788709677419271,9.864676331262329e-06
7.798709677419271,9.864676331262329e-06
7.80870967741927,9.864676331262329e-06
7.81870967741927,9.864676331262329e-06
7.82870967741927,9.864676331262329e-06
7.83870967741927,9.986421539477418e-06
7.8487096774192695,1.0137180039358022e-05
7.858709677419269,1.0050310302950893e-05
7.868709677419269,9.966325417908478e-06
7.878709677419269,9.883017662851306e-06
7.888709677419269,9.797702772202607e-06
7.898709677419268,9.784931151055888e-06
7.908709677419268,9.703171398784038e-06
7.918709677419268,9.622070794913033e-06
7.928709677419268,9.541624157827538e-06
7.938709677419268,9.46959403302717e-06
7.948709677419267,9.405302778662074e-06
7.958709677419267,9.405302778662074e-06
7.968709677419267,9.341448012426629e-06
7.978709677419267,9.405302778662074e-06
7.9887096774192665,9.487718636353491e-06
7.998709677419266,9.601290214335384e-06
8.008709677419265,9.763760728440952e-06
8.018709677419267,9.797702772202607e-06
8.028709677419265,9.932107697393503e-06
8.038709677419266,1.006835638987716e-05
8.048709677419264,1.0206474142460554e-05
8.058709677419266,1.034648659491747e-05
8.068709677419264,1.0488419738748272e-05
8.078709677419265,1.0586678918345e-05
8.088709677419263,1.0675907060328852e-05
8.098709677419265,1.0765860392305448e-05
8.108709677419263,1.0778153854181437e-05
8.118709677419265,1.0704978485880712e-05
8.128709677419263,1.0666604204155718e-05
8.138709677419264,1.0577439221404441e-05
