m_A0_GeV,B1B3_UL_blue
1.3301382488479272,4.949103693201354e-07
1.3401382488479272,6.611874245810748e-07
1.3501382488479272,7.980479086691995e-07
1.3601382488479272,9.56668055557075e-07
1.3701382488479272,9.739518416091133e-07
1.3801382488479272,9.430525138725303e-07
1.3901382488479272,7.909837070208353e-07
1.4001382488479273,6.662613133201594e-07
1.4101382488479273,5.886974837724435e-07
1.4201382488479273,5.387917280255106e-07
1.4301382488479273,4.6862167065381827e-07
1.4401382488479273,4.6966783765681945e-07
1.4501382488479273,5.612414509261803e-07
1.4601382488479273,6.00081377744662e-07
1.4701382488479273,6.798455949565276e-07
1.4801382488479273,6.154446022228583e-07
1.4901382488479273,5.665289295961331e-07
1.5001382488479273,4.705187602370486e-07
1.5101382488479274,4.6662232927030744e-07
1.5201382488479274,4.6662232927030744e-07
1.5301382488479274,4.6662232927030744e-07
1.5401382488479274,4.6662232927030744e-07
1.5501382488479274,4.6662232927030744e-07
1.5601382488479274,4.6662232927030744e-07
1.5701382488479274,4.6662232927030744e-07
1.5801382488479274,4.6662232927030744e-07
1.5901382488479274,4.6662232927030744e-07
1.6001382488479274,4.6662232927030744e-07
1.6101382488479274,4.6662232927030744e-07
1.6201382488479275,5.138401086969038e-07
1.6301382488479275,5.7986759960893e-07
1.6401382488479275,6.238003971356328e-07
1.6501382488479275,6.144100006113855e-07
1.6601382488479275,5.783684393831525e-07
1.6701382488479275,5.086310946525632e-07
1.6801382488479275,4.6293204169587777e-07
1.6901382488479275,4.6293204169587777e-07
1.7001382488479275,4.6293204169587777e-07
1.7101382488479275,4.6293204169587777e-07
1.7201382488479275,4.6293204169587777e-07
1.7301382488479276,4.6293204169587777e-07
1.7401382488479276,4.6293204169587777e-07
1.7501382488479276,4.6293204169587777e-07
1.7601382488479276,5.470352516937072e-07
1.7701382488479276,5.835093958117152e-07
1.7801382488479276,6.27965713224179e-07
1.7901382488479276,5.88862718440757e-07
1.8001382488479276,5.357850215894999e-07
1.8101382488479276,4.778706358208398e-07
1.8201382488479276,5.416850510239534e-07
1.8301382488479276,5.914815694314749e-07
1.8401382488479276,6.380173423830921e-07
1.8501382488479277,5.850447709717933e-07
1.8601382488479277,5.286737272276958e-07
1.8701382488479277,4.656115130805494e-07
1.8801382488479277,4.592709387993499e-07
1.8901382488479277,4.592709387993499e-07
1.9001382488479277,4.592709387993499e-07
1.9101382488479277,4.592709387993499e-07
1.9201382488479277,4.626345770855356e-07
1.9301382488479277,5.486467063696041e-07
1.9401382488479277,5.790114365914317e-07
1.9501382488479277,6.30413411524562e-07
1.9601382488479278,5.826561560727736e-07
1.9701382488479278,5.522238458867793e-07
1.9801382488479278,5.703751874038818e-07
1.9901382488479278,6.081436587907861e-07
2.000138248847928,5.903908000212032e-07
2.010138248847928,5.615951531849062e-07
2.020138248847928,4.887144571189463e-07
2.030138248847928,5.230974190901609e-07
2.040138248847928,5.717366911680559e-07
2.050138248847928,6.291188286693898e-07
2.060138248847928,7.221881839209166e-07
2.070138248847928,8.282806731208779e-07
2.080138248847928,9.611514320345081e-07
2.090138248847928,1.0553305135375548e-06
2.100138248847928,9.186805123813808e-07
2.110138248847928,7.489880707979252e-07
2.120138248847928,6.454573835554836e-07
2.130138248847928,4.92671698536972e-07
2.140138248847928,4.5563878977339606e-07
2.150138248847928,5.369867970947223e-07
2.160138248847928,5.956791066956032e-07
2.170138248847928,7.614359168755668e-07
2.180138248847928,8.915983134589323e-07
2.190138248847928,8.086171079151865e-07
2.200138248847928,6.872457280003125e-07
2.210138248847928,6.088689357785228e-07
2.220138248847928,5.586542385364834e-07
2.230138248847928,6.049996866936994e-07
2.2401382488479284,5.876829025000524e-07
2.2501382488479282,5.78187855753066e-07
2.260138248847928,5.89277844613919e-07
2.2701382488479283,6.563074402717077e-07
2.2801382488479285,6.723357536499335e-07
2.2901382488479283,6.723357536499335e-07
2.300138248847928,6.74781053120847e-07
