m_A0_GeV,B1B2_UL_blue
4.524229390680989,3.624259251985825e-06
4.534229390680989,3.768003315911535e-06
4.5442293906809885,3.877946063046282e-06
4.554229390680988,3.997672391782496e-06
4.564229390680988,4.121054161625595e-06
4.574229390680988,4.190844138980947e-06
4.584229390680988,4.320287431725247e-06
4.5942293906809875,4.404372062394525e-06
4.604229390680987,4.529025030947819e-06
4.614229390680987,4.634099700650713e-06
4.624229390680987,4.715712939469101e-06
4.634229390680987,4.795548959860144e-06
4.644229390680986,4.88354715678701e-06
4.654229390680986,4.958353826768436e-06
4.664229390680986,5.0343424011874986e-06
4.674229390680986,5.059900908466185e-06
4.6842293906809855,5.094488564390075e-06
4.694229390680985,5.129312649043293e-06
4.704229390680985,5.241804329323407e-06
4.714229390680985,5.285994532023938e-06
4.724229390680985,5.343313441757622e-06
4.7342293906809845,5.379838403443687e-06
4.744229390680984,5.383957162355005e-06
4.754229390680984,5.403962562782502e-06
4.764229390680984,5.379838403443687e-06
4.774229390680984,5.249008510859425e-06
4.784229390680983,5.0255480761025375e-06
4.794229390680983,4.939292781877324e-06
4.804229390680983,4.857098837275107e-06
4.814229390680983,4.767578122151462e-06
4.8242293906809826,4.695616505318741e-06
4.834229390680982,4.59337378734558e-06
4.844229390680982,4.524067741273711e-06
4.854229390680982,4.4455857745926695e-06
4.864229390680982,4.38542647692208e-06
4.8742293906809815,4.3260812769384475e-06
4.884229390680981,4.33672702768094e-06
4.894229390680981,4.38542647692208e-06
4.904229390680981,4.4455857745926695e-06
4.914229390680981,4.474272442548e-06
4.92422939068098,4.415403669125491e-06
4.93422939068098,4.415403669125491e-06
4.94422939068098,4.392860820588683e-06
4.95422939068098,4.356129185501552e-06
4.96422939068098,4.3685589930456066e-06
4.974229390680979,4.442539264285388e-06
4.984229390680979,4.579701366596473e-06
4.994229390680979,4.6917848155008084e-06
5.004229390680979,4.758990007415186e-06
5.0142293906809785,4.803835912913595e-06
5.024229390680978,4.84432386367681e-06
5.034229390680978,4.952155254340663e-06
5.044229390680978,5.064898553787333e-06
5.054229390680978,5.199676580150829e-06
5.064229390680977,5.1106469396693694e-06
5.074229390680977,5.0073140780499935e-06
5.084229390680977,4.857250845491512e-06
5.094229390680977,4.672556511534004e-06
5.104229390680977,4.4503595863241455e-06
5.114229390680976,4.265170541170233e-06
5.124229390680976,4.10066956430093e-06
5.134229390680976,3.977868034676191e-06
5.144229390680976,3.842744006755517e-06
5.1542293906809755,3.6925218829177354e-06
5.164229390680975,3.581883807814872e-06
5.174229390680975,3.4983335186173666e-06
5.184229390680975,3.4009466884552496e-06
5.194229390680975,3.337113054230099e-06
5.2042293906809745,3.276677216684221e-06
5.214229390680974,3.2718463420339117e-06
5.224229390680974,3.277392901817287e-06
5.234229390680974,3.3050201619295567e-06
